dataset,station,sim,template,rX,rY,rMag,rVec,dAz,passX,passY,passMag
experiment,EC1,sim3,template3,0.2813322632243737,0.5595198152936093,0.5569208807220618,0.5753709400018874,49.50615573044426,False,False,False
experiment,EC1,sim4,template3,0.15976001198353798,0.5901775609937642,0.5420080689814631,0.4552153780906437,0.9510093435086056,False,False,False
experiment,EC1,sim3,template1,0.46962129628319743,0.20438384949415087,0.2990636163501978,0.39214378920137627,44.34711706031098,False,False,False
experiment,EC1,sim2,template1,0.06877211642742594,0.4686147182226974,0.4629708267369436,0.31008604001029483,142.21985369596575,False,False,False
experiment,EC1,sim1,template2,0.43009257307959553,0.15697082269279822,0.2377985236986969,0.33581100994040314,89.38399247792,False,False,False
experiment,EC1,sim4,template3,0.23834126637604827,0.4385725014189768,0.3370542502007765,0.3406304467392527,17.702172187696853,False,False,False
experiment,EC1,sim3,template1,0.338173778841161,0.4312866153815569,0.48486709718958154,0.37374368894116855,160.47609074215245,False,False,False
experiment,EC1,sim4,template3,0.5071244040736869,0.12304392589047428,0.15221367134044153,0.375627931681401,88.29491297195518,False,False,False
experiment,EC1,sim4,template2,0.30803729369289773,0.28480062236428616,0.12062270100674304,0.3205991663966054,39.578724965257955,False,False,False
experiment,EC1,sim4,template2,0.20707276508400937,0.353854521812587,0.251299521470346,0.2585052600201097,54.856239376401305,False,False,False
experiment,EC1,sim3,template1,0.3929798949264001,0.16907117342335554,0.193991263962664,0.341858496235816,132.8379702478023,False,False,False
experiment,EC1,sim4,template2,0.140619479019751,0.4392197820487338,0.46402884643265213,0.3812603601121147,38.152191172542956,False,False,False
experiment,EC1,sim4,template3,0.45983101253726666,0.08171616864407201,0.3125339564203142,0.36261403556779787,83.16051347229879,False,False,False
experiment,EC1,sim2,template3,0.37540311165860585,0.26198176683730734,0.07541336006875711,0.3245538504446515,92.94449140582851,False,False,False
experiment,EC1,sim1,template3,0.18546960351327502,0.2678487263490451,0.1880535584049934,0.36693638868420836,143.458201077339,False,False,False
experiment,EC1,sim4,template3,0.24988812356534115,0.4401533625121745,0.35304219902045975,0.3589588032571871,159.11883465274428,False,False,False
experiment,EC1,sim3,template3,0.16027494816449714,0.44066706608900374,0.23150583987733728,0.3313580426759156,56.11252213187296,False,False,False
experiment,EC1,sim1,template3,0.11629053811851349,0.12204328098515167,0.031637407098281986,0.3051173535848386,54.27865362231739,False,False,False
experiment,EC1,sim1,template3,0.4420660835025904,0.3434806792230038,0.15576127247002738,0.42837434804693025,45.32481699713458,False,False,False
experiment,EC1,sim4,template3,0.15976001198353804,0.5901775609937648,0.5420080689814628,0.4552153780906436,0.9510093435085988,False,False,False
experiment,EC1,sim3,template3,0.5235084458322653,0.2968348881653447,0.3466088859831979,0.43300752208417703,89.0079580261385,False,False,False
experiment,EC1,sim3,template2,0.3698000492219445,0.2497470713724828,0.3694759737235854,0.32838315740253105,30.548677352219823,False,False,False
