dataset,station,sim,template,rX,rY,rMag,rVec,dAz,passX,passY,passMag,peak_time
ingv,EEC1,sim4,template2,0.28639849683496915,0.6011229623828396,0.29065168584996837,0.46519114574899356,167.37392819181846,False,True,False,2023-01-23 15:12:38
ingv,EEC1,sim2,template2,0.01534727053340469,0.473085113300776,0.24736167427945654,0.3190607903597482,57.99034340608428,False,True,False,2022-11-19 12:45:36
ingv,EEC1,sim1,template3,0.060283255053496146,0.4643154253403974,0.32200757851678996,0.3498023767864604,160.748753330229,False,False,False,2023-01-17 09:49:42
ingv,EEC1,sim1,template1,0.22430291843972097,0.33212924266398214,0.06665429211195274,0.3121643685124227,129.71220343969821,False,False,False,2022-11-19 19:02:08
ingv,EEC1,sim1,template3,0.3456215737468944,0.4337762801365035,0.38918885883750526,0.4941732365555972,128.5181197260212,False,False,False,2023-01-06 19:50:10
ingv,EEC1,sim3,template1,0.42495003016063093,0.32318795841004655,0.2852992838574654,0.39081995956728427,61.27377493059501,False,False,False,2022-12-12 06:32:50
ingv,EEC1,sim1,template2,0.23508703278509285,0.2535002587133906,0.05209937754942447,0.298764663059802,69.94438803095504,False,False,False,2023-01-20 04:50:47
ingv,EEC1,sim4,template1,0.293129555837883,0.45669932112822137,0.07535407921238825,0.3837674227799234,120.48201138988624,False,False,False,2022-12-02 21:46:07
ingv,EEC1,sim4,template1,0.18630314120569438,0.42929310321468195,0.344294024712234,0.3610203858355431,134.70860637730374,False,False,False,2023-01-15 07:35:20
ingv,EEC1,sim4,template2,0.37939746169723293,0.029676092019313757,0.26620621291017177,0.3487188356491725,104.49607974775336,False,False,False,2023-02-12 19:02:44
ingv,EEC1,sim1,template1,0.364431460978154,0.11120810096766182,0.21664448853644996,0.3788701417734648,95.52789378775209,False,False,False,2023-01-07 03:37:32
ingv,EEC1,sim3,template2,0.4375056082514597,0.11059609869629873,0.4300705828713019,0.39394886733682,20.483133607742207,True,False,True,2023-01-04 19:41:05
ingv,EEC1,sim1,template2,0.4506348854967811,0.2308147413722968,0.05155424955687006,0.42450602769908946,95.60743163291313,False,False,False,2023-01-25 22:06:43
ingv,EEC1,sim2,template1,0.4470847350935764,0.3988363336078289,0.14731004144993196,0.43694711154747107,61.21480330461085,False,False,False,2022-12-07 14:28:49
ingv,EEC1,sim1,template3,0.4804003439848473,0.051055204093345935,0.25998532111075917,0.3600774203210797,78.56262569704535,False,False,False,2023-01-19 11:38:30
ingv,EEC1,sim3,template2,0.38866640927956847,0.5086925714630706,0.5798271622283383,0.44067803481378637,22.414154639415763,False,True,True,2022-12-26 22:31:40
ingv,EEC1,sim2,template2,0.2952764013642212,0.1513597522140315,0.02841703407749277,0.24701726977271418,125.29505063591095,False,False,False,2022-12-10 20:39:18
ingv,EEC1,sim4,template2,0.4938203170121275,0.019207209542579512,0.39078325398408414,0.3270412710553955,99.71177536495782,True,False,False,2023-01-10 18:51:44
ingv,EEC1,sim4,template1,0.47537743129496735,0.18575305168813042,0.33619559424071455,0.41038020081701276,100.31570596692579,True,False,False,2022-11-15 11:18:58
